$/MWh,datetime
30.55,2023-01-07 16:30:00
30.86,2023-01-07 17:00:00
40.04,2023-01-07 17:30:00
35.36,2023-01-07 18:00:00
11.22,2023-01-07 18:30:00
10.47,2023-01-07 19:00:00
10.41,2023-01-07 19:30:00
10.26,2023-01-07 20:00:00
6.31,2023-01-07 20:30:00
10.0,2023-01-07 21:00:00
5.1,2023-01-07 21:30:00
1.48,2023-01-07 22:00:00
3.64,2023-01-07 22:30:00
5.98,2023-01-07 23:00:00
0.34,2023-01-07 23:30:00
3.28,2023-01-08 00:00:00
14.17,2023-01-08 00:30:00
10.87,2023-01-08 01:00:00
8.94,2023-01-08 01:30:00
11.44,2023-01-08 02:00:00
10.82,2023-01-08 02:30:00
5.46,2023-01-08 03:00:00
0.25,2023-01-08 03:30:00
0.41,2023-01-08 04:00:00
0.51,2023-01-08 04:30:00
9.14,2023-01-08 05:00:00
7.09,2023-01-08 05:30:00
0.42,2023-01-08 06:00:00
0.42,2023-01-08 06:30:00
0.18,2023-01-08 07:00:00
0.43,2023-01-08 07:30:00
1.93,2023-01-08 08:00:00
11.05,2023-01-08 08:30:00
9.21,2023-01-08 09:00:00
17.89,2023-01-08 09:30:00
20.39,2023-01-08 10:00:00
8.74,2023-01-08 10:30:00
8.24,2023-01-08 11:00:00
9.58,2023-01-08 11:30:00
32.81,2023-01-08 12:00:00
10.63,2023-01-08 12:30:00
7.5,2023-01-08 13:00:00
4.17,2023-01-08 13:30:00
7.83,2023-01-08 14:00:00
8.51,2023-01-08 14:30:00
8.52,2023-01-08 15:00:00
10.48,2023-01-08 15:30:00
26.46,2023-01-08 16:00:00
3.57,2023-01-08 16:30:00
13.11,2023-01-08 17:00:00
27.6,2023-01-08 17:30:00
28.08,2023-01-08 18:00:00
40.11,2023-01-08 18:30:00
23.15,2023-01-08 19:00:00
11.62,2023-01-08 19:30:00
10.18,2023-01-08 20:00:00
6.9,2023-01-08 20:30:00
10.33,2023-01-08 21:00:00
19.69,2023-01-08 21:30:00
7.04,2023-01-08 22:00:00
7.32,2023-01-08 22:30:00
11.08,2023-01-08 23:00:00
7.39,2023-01-08 23:30:00
14.63,2023-01-09 00:00:00
11.24,2023-01-09 00:30:00
11.0,2023-01-09 01:00:00
7.48,2023-01-09 01:30:00
3.65,2023-01-09 02:00:00
0.36,2023-01-09 02:30:00
0.03,2023-01-09 03:00:00
0.01,2023-01-09 03:30:00
0.01,2023-01-09 04:00:00
0.01,2023-01-09 04:30:00
0.32,2023-01-09 05:00:00
10.58,2023-01-09 05:30:00
24.99,2023-01-09 06:00:00
5.33,2023-01-09 06:30:00
27.67,2023-01-09 07:00:00
30.85,2023-01-09 07:30:00
28.02,2023-01-09 08:00:00
9.98,2023-01-09 08:30:00
23.18,2023-01-09 09:00:00
40.04,2023-01-09 09:30:00
31.77,2023-01-09 10:00:00
23.28,2023-01-09 10:30:00
18.46,2023-01-09 11:00:00
20.43,2023-01-09 11:30:00
40.08,2023-01-09 12:00:00
40.01,2023-01-09 12:30:00
40.08,2023-01-09 13:00:00
39.96,2023-01-09 13:30:00
37.38,2023-01-09 14:00:00
19.97,2023-01-09 14:30:00
34.04,2023-01-09 15:00:00
21.81,2023-01-09 15:30:00
40.09,2023-01-09 16:00:00
31.67,2023-01-09 16:30:00
39.49,2023-01-09 17:00:00
40.06,2023-01-09 17:30:00
40.05,2023-01-09 18:00:00
40.07,2023-01-09 18:30:00
40.05,2023-01-09 19:00:00
39.97,2023-01-09 19:30:00
39.09,2023-01-09 20:00:00
34.58,2023-01-09 20:30:00
35.03,2023-01-09 21:00:00
40.41,2023-01-09 21:30:00
38.57,2023-01-09 22:00:00
12.31,2023-01-09 22:30:00
12.43,2023-01-09 23:00:00
11.04,2023-01-09 23:30:00
10.29,2023-01-10 00:00:00
14.38,2023-01-10 00:30:00
11.86,2023-01-10 01:00:00
11.42,2023-01-10 01:30:00
0.55,2023-01-10 02:00:00
0.21,2023-01-10 02:30:00
0.53,2023-01-10 03:00:00
0.03,2023-01-10 03:30:00
0.11,2023-01-10 04:00:00
0.28,2023-01-10 04:30:00
7.67,2023-01-10 05:00:00
20.18,2023-01-10 05:30:00
20.23,2023-01-10 06:00:00
6.98,2023-01-10 06:30:00
11.92,2023-01-10 07:00:00
11.39,2023-01-10 07:30:00
21.42,2023-01-10 08:00:00
9.13,2023-01-10 08:30:00
31.42,2023-01-10 09:00:00
38.29,2023-01-10 09:30:00
38.68,2023-01-10 10:00:00
30.33,2023-01-10 10:30:00
39.89,2023-01-10 11:00:00
40.21,2023-01-10 11:30:00
51.34,2023-01-10 12:00:00
49.58,2023-01-10 12:30:00
50.57,2023-01-10 13:00:00
42.22,2023-01-10 13:30:00
45.92,2023-01-10 14:00:00
33.6,2023-01-10 14:30:00
38.99,2023-01-10 15:00:00
64.46,2023-01-10 15:30:00
49.22,2023-01-10 16:00:00
42.97,2023-01-10 16:30:00
45.91,2023-01-10 17:00:00
49.13,2023-01-10 17:30:00
41.64,2023-01-10 18:00:00
40.36,2023-01-10 18:30:00
39.37,2023-01-10 19:00:00
40.11,2023-01-10 19:30:00
40.11,2023-01-10 20:00:00
40.15,2023-01-10 20:30:00
47.5,2023-01-10 21:00:00
67.35,2023-01-10 21:30:00
36.88,2023-01-10 22:00:00
25.46,2023-01-10 22:30:00
40.29,2023-01-10 23:00:00
40.25,2023-01-10 23:30:00
33.04,2023-01-11 00:00:00
33.1,2023-01-11 00:30:00
33.0,2023-01-11 01:00:00
32.93,2023-01-11 01:30:00
32.84,2023-01-11 02:00:00
32.79,2023-01-11 02:30:00
32.76,2023-01-11 03:00:00
18.37,2023-01-11 03:30:00
24.93,2023-01-11 04:00:00
25.64,2023-01-11 04:30:00
25.59,2023-01-11 05:00:00
32.89,2023-01-11 05:30:00
31.91,2023-01-11 06:00:00
35.36,2023-01-11 06:30:00
68.63,2023-01-11 07:00:00
49.5,2023-01-11 07:30:00
38.86,2023-01-11 08:00:00
44.11,2023-01-11 08:30:00
62.22,2023-01-11 09:00:00
64.84,2023-01-11 09:30:00
67.34,2023-01-11 10:00:00
63.52,2023-01-11 10:30:00
73.28,2023-01-11 11:00:00
65.63,2023-01-11 11:30:00
66.23,2023-01-11 12:00:00
65.88,2023-01-11 12:30:00
64.9,2023-01-11 13:00:00
49.98,2023-01-11 13:30:00
55.93,2023-01-11 14:00:00
55.11,2023-01-11 14:30:00
64.27,2023-01-11 15:00:00
60.68,2023-01-11 15:30:00
46.25,2023-01-11 16:00:00
46.96,2023-01-11 16:30:00
40.04,2023-01-11 17:00:00
42.42,2023-01-11 17:30:00
34.81,2023-01-11 18:00:00
33.29,2023-01-11 18:30:00
19.93,2023-01-11 19:00:00
32.59,2023-01-11 19:30:00
30.37,2023-01-11 20:00:00
32.71,2023-01-11 20:30:00
32.95,2023-01-11 21:00:00
32.95,2023-01-11 21:30:00
33.01,2023-01-11 22:00:00
32.93,2023-01-11 22:30:00
32.87,2023-01-11 23:00:00
32.84,2023-01-11 23:30:00
32.83,2023-01-12 00:00:00
32.92,2023-01-12 00:30:00
32.86,2023-01-12 01:00:00
32.71,2023-01-12 01:30:00
32.56,2023-01-12 02:00:00
32.38,2023-01-12 02:30:00
32.42,2023-01-12 03:00:00
32.3,2023-01-12 03:30:00
13.16,2023-01-12 04:00:00
11.06,2023-01-12 04:30:00
25.58,2023-01-12 05:00:00
32.81,2023-01-12 05:30:00
44.4,2023-01-12 06:00:00
46.58,2023-01-12 06:30:00
57.14,2023-01-12 07:00:00
40.07,2023-01-12 07:30:00
61.63,2023-01-12 08:00:00
60.16,2023-01-12 08:30:00
65.27,2023-01-12 09:00:00
99.22,2023-01-12 09:30:00
118.58,2023-01-12 10:00:00
74.01,2023-01-12 10:30:00
58.06,2023-01-12 11:00:00
46.94,2023-01-12 11:30:00
65.89,2023-01-12 12:00:00
67.62,2023-01-12 12:30:00
78.43,2023-01-12 13:00:00
62.63,2023-01-12 13:30:00
56.89,2023-01-12 14:00:00
50.9,2023-01-12 14:30:00
52.44,2023-01-12 15:00:00
63.36,2023-01-12 15:30:00
56.66,2023-01-12 16:00:00
49.97,2023-01-12 16:30:00
41.87,2023-01-12 17:00:00
52.76,2023-01-12 17:30:00
37.89,2023-01-12 18:00:00
45.89,2023-01-12 18:30:00
44.4,2023-01-12 19:00:00
32.94,2023-01-12 19:30:00
32.94,2023-01-12 20:00:00
36.14,2023-01-12 20:30:00
53.63,2023-01-12 21:00:00
52.66,2023-01-12 21:30:00
48.03,2023-01-12 22:00:00
32.93,2023-01-12 22:30:00
36.59,2023-01-12 23:00:00
32.89,2023-01-12 23:30:00
32.92,2023-01-13 00:00:00
32.87,2023-01-13 00:30:00
32.87,2023-01-13 01:00:00
32.87,2023-01-13 01:30:00
32.71,2023-01-13 02:00:00
32.71,2023-01-13 02:30:00
32.71,2023-01-13 03:00:00
32.71,2023-01-13 03:30:00
32.59,2023-01-13 04:00:00
32.64,2023-01-13 04:30:00
34.65,2023-01-13 05:00:00
38.08,2023-01-13 05:30:00
48.34,2023-01-13 06:00:00
57.58,2023-01-13 06:30:00
99.72,2023-01-13 07:00:00
99.28,2023-01-13 07:30:00
112.72,2023-01-13 08:00:00
146.51,2023-01-13 08:30:00
104.84,2023-01-13 09:00:00
110.99,2023-01-13 09:30:00
82.56,2023-01-13 10:00:00
77.45,2023-01-13 10:30:00
74.04,2023-01-13 11:00:00
109.65,2023-01-13 11:30:00
110.35,2023-01-13 12:00:00
118.71,2023-01-13 12:30:00
74.45,2023-01-13 13:00:00
59.37,2023-01-13 13:30:00
73.04,2023-01-13 14:00:00
71.23,2023-01-13 14:30:00
77.23,2023-01-13 15:00:00
77.11,2023-01-13 15:30:00
77.98,2023-01-13 16:00:00
86.03,2023-01-13 16:30:00
78.51,2023-01-13 17:00:00
78.12,2023-01-13 17:30:00
48.54,2023-01-13 18:00:00
42.6,2023-01-13 18:30:00
39.0,2023-01-13 19:00:00
